id,date,channel,product_category,units_sold,unit_price,revenue_vnd,discount_vnd,net_revenue_vnd,status
TRX001,2026-07-01,Online Web,Goi Dich Vu Premium,120,500000,60000000,5000000,55000000,COMPLETED
TRX002,2026-07-02,Mobile App,Goi Dich Vu Standard,250,200000,50000000,0,50000000,COMPLETED
TRX003,2026-07-03,Dai Ly,Goi Doanh Nghiep B2B,15,5000000,75000000,7500000,67500000,COMPLETED
TRX004,2026-07-05,Online Web,Goi Dich Vu Standard,180,200000,36000000,3600000,32400000,COMPLETED
TRX005,2026-07-08,Mobile App,Goi Dich Vu Premium,95,500000,47500000,2500000,45000000,COMPLETED
TRX006,2026-07-12,Dai Ly,Goi Doanh Nghiep B2B,20,5000000,100000000,10000000,90000000,COMPLETED
TRX007,2026-07-15,Online Web,Goi Dich Vu Standard,210,200000,42000000,2000000,40000000,COMPLETED
TRX008,2026-07-18,Mobile App,Goi Dich Vu Premium,140,500000,70000000,7000000,63000000,COMPLETED
TRX009,2026-07-20,Dai Ly,Goi Doanh Nghiep B2B,10,5000000,50000000,5000000,45000000,COMPLETED
TRX010,2026-07-24,Online Web,Goi Dich Vu Standard,160,200000,32000000,1500000,30500000,COMPLETED
